"n_simul","n_vars","prop_censored","target_R2_C","censoring_threshold","mixture_T","mixture_T_type","mixture_T_n_groups","type_pred","algo","type_w","minleaf","maxdepth","max_w_mod","mean_R2","sd_R2","mean_Kendall","sd_Kendall","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2","mean_mse","sd_mse","mean_KM_mse","sd_KM_mse","mean_Cox_mse","sd_Cox_mse","mean_RSF_mse","sd_RSF_mse","mean_R2_20","sd_R2_20","mean_Kendall_20","sd_Kendall_20"
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,10,0.01134,0.02156,0.53679,0.01838,0.53669,0.01885,0.01099,0.0232,0.01104,0.0231,0.01161,0.02307,12152.84366,2352.72528,12070.80569,2378.54956,11968.71125,2363.39713,11976.43726,2369.06334,0.14066,0.21505,0.64829,0.06986
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,50,0.01191,0.02127,0.53761,0.01805,0.53756,0.01867,0.01149,0.02294,0.01149,0.02282,0.01205,0.02279,12146.62158,2355.42913,12064.95667,2378.02034,11963.91549,2366.07892,11971.72203,2371.12415,0.14199,0.20681,0.64658,0.06526
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,10,0.01162,0.02175,0.53665,0.01855,0.53653,0.01914,0.01167,0.02338,0.0115,0.02333,0.01205,0.02317,12149.56338,2353.31591,12061.59682,2372.74494,11962.04191,2356.64848,11970.49403,2364.76275,0.14196,0.19977,0.6454,0.06583
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,50,0.01143,0.02138,0.53688,0.01818,0.53675,0.01871,0.01146,0.02288,0.01125,0.02274,0.01178,0.02257,12151.52274,2352.36139,12063.97083,2371.70472,11965.33448,2358.95789,11973.68602,2365.54712,0.1454,0.21396,0.64991,0.06478
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,10,0.00527,0.02505,0.53529,0.01821,0.53521,0.0187,0.005,0.02684,0.00506,0.02665,0.00532,0.02682,12230.79951,2386.81404,12149.98656,2427.94022,12047.00758,2411.52521,12058.00695,2416.24987,0.05909,0.28601,0.64126,0.06721
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,50,0.00556,0.02486,0.53603,0.01788,0.53596,0.01853,0.00543,0.02668,0.00547,0.02648,0.00572,0.02663,12228.12298,2392.86712,12144.81194,2427.11691,12042.3995,2413.07643,12053.77882,2418.6777,0.0513,0.29173,0.64811,0.06432
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,10,0.00493,0.02572,0.53494,0.01824,0.53485,0.01883,0.00551,0.02749,0.00522,0.02738,0.0055,0.02745,12234.72625,2387.52229,12141.62282,2416.25257,12042.94751,2400.11711,12054.18916,2408.00159,0.0409,0.28814,0.6413,0.06924
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,50,0.00466,0.0255,0.53515,0.01807,0.53505,0.01854,0.00508,0.02678,0.00475,0.02665,0.00496,0.02667,12238.42779,2391.25906,12147.41809,2420.39384,12049.4278,2406.43393,12061.31518,2412.65744,0.06482,0.28772,0.64336,0.06419
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"RF_bench",NA,50,4,NA,0.01298,0.01641,0.53632,0.01728,0.53648,0.01787,0.01254,0.01833,0.01277,0.0182,0.01312,0.01841,12143.24802,2400.33288,12061.47958,2416.36414,11957.8256,2403.41196,11967.62231,2405.91384,0.15423,0.16685,0.64893,0.06377
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,10,0.01056,0.0163,0.53359,0.0169,0.53366,0.01765,0.01025,0.01814,0.01042,0.01795,0.01077,0.01813,12171.15357,2393.85015,12089.41666,2420.64662,11986.15546,2407.86629,11996.02685,2409.92861,0.12482,0.16593,0.63761,0.06136
