"n_simul","n_vars","prop_censored","target_R2_C","censoring_threshold","mixture_T","mixture_T_type","mixture_T_n_groups","type_pred","algo","type_w","minleaf","maxdepth","max_w_mod","mean_R2","sd_R2","mean_Kendall","sd_Kendall","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2","mean_mse","sd_mse","mean_KM_mse","sd_KM_mse","mean_Cox_mse","sd_Cox_mse","mean_RSF_mse","sd_RSF_mse","mean_R2_20","sd_R2_20","mean_Kendall_20","sd_Kendall_20"
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,10,-0.00166,0.01831,0.53834,0.01873,0.53848,0.01917,-0.00179,0.0182,-0.00189,0.01839,-0.00102,0.0181,1.45554,0.07921,1.45419,0.08037,1.45287,0.08025,1.45142,0.07989,-0.02914,0.25742,0.64221,0.06547
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,50,-0.00152,0.0184,0.53748,0.01903,0.53767,0.01947,-0.00163,0.01834,-0.00176,0.01845,-0.00092,0.01818,1.45535,0.07942,1.45397,0.08044,1.45269,0.08036,1.45129,0.08,-0.04236,0.27876,0.63679,0.06644
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,10,-0.00202,0.01849,0.53745,0.01887,0.53743,0.01947,-0.00194,0.01851,-0.00221,0.0186,-0.00133,0.01832,1.45608,0.07939,1.45442,0.08056,1.45334,0.08048,1.45188,0.08017,-0.0431,0.26716,0.63548,0.0674
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,50,-0.00201,0.01814,0.53741,0.01812,0.53746,0.01862,-0.00195,0.01797,-0.00224,0.01808,-0.00136,0.01782,1.45607,0.07929,1.45444,0.08033,1.45338,0.08024,1.45193,0.07988,-0.04815,0.27199,0.63713,0.0635
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,10,0.00857,0.01446,0.53724,0.01854,0.53739,0.01903,0.00878,0.01487,0.00886,0.01483,0.00873,0.01469,1.4405,0.07342,1.43867,0.07476,1.43709,0.07441,1.4371,0.07416,0.12499,0.17876,0.63859,0.06567
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,50,0.00874,0.01506,0.53654,0.01906,0.53674,0.01952,0.00897,0.01553,0.00902,0.01539,0.00886,0.01523,1.44025,0.07339,1.43837,0.07453,1.43684,0.07426,1.4369,0.07397,0.12062,0.19039,0.634,0.06606
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,10,0.00807,0.01504,0.53614,0.01889,0.53615,0.01948,0.00866,0.01546,0.00842,0.01536,0.00833,0.01524,1.44122,0.07326,1.43883,0.07457,1.43772,0.07435,1.43766,0.07415,0.10901,0.19546,0.63085,0.06573
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,50,0.00801,0.0141,0.53613,0.01795,0.53623,0.01842,0.00863,0.01441,0.00835,0.01428,0.00825,0.01418,1.44132,0.07327,1.43888,0.07422,1.43782,0.07399,1.4378,0.07379,0.11346,0.17085,0.63038,0.05997
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"RF_bench",NA,50,4,NA,0.00934,0.01099,0.53662,0.01804,0.53671,0.01864,0.00924,0.01141,0.00939,0.01134,0.00937,0.01127,1.43947,0.07386,1.43811,0.07527,1.43644,0.07512,1.43629,0.07489,0.147,0.14896,0.63799,0.07054
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,10,0.00785,0.01048,0.53436,0.01676,0.5345,0.01727,0.00789,0.01082,0.00794,0.01073,0.00797,0.01069,1.44163,0.07366,1.44005,0.07509,1.43853,0.07486,1.43831,0.07461,0.12848,0.14099,0.63142,0.06223
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,50,0.00793,0.0106,0.53423,0.01723,0.53439,0.01773,0.00799,0.01111,0.00817,0.01091,0.00811,0.01083,1.44152,0.07356,1.43989,0.07483,1.43818,0.07458,1.43808,0.07441,0.11985,0.14235,0.62555,0.06283
