"algo","type_weights","nodesize","max_ratio_weights_model","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2"
"w_RF","KM",3,1000,0.66263,0.01479,0.04057,0.09598,0.01077,0.09731,-0.02928,0.10226
"w_RF","KM",5,1000,0.66214,0.01588,0.05651,0.09415,0.02775,0.09816,-0.01249,0.1007
"w_RF","KM",10,1000,0.66988,0.01806,0.10254,0.08214,0.07481,0.08828,0.04102,0.08999
"w_RF","KM",20,1000,0.6764,0.01681,0.14412,0.06939,0.12044,0.07372,0.09427,0.07727
"w_RF","KM",50,1000,0.68245,0.01825,0.16921,0.049,0.15143,0.0521,0.1333,0.05354
"w_RF","Cox",3,1000,0.65905,0.01488,0.02554,0.10494,-0.0016,0.10772,-0.04304,0.11226
"w_RF","Cox",5,1000,0.66216,0.01626,0.05308,0.09368,0.02801,0.096,-0.01264,0.10092
"w_RF","Cox",10,1000,0.66696,0.01641,0.08888,0.08542,0.06648,0.09003,0.0307,0.09313
"w_RF","Cox",20,1000,0.67466,0.01585,0.12816,0.07228,0.1105,0.07522,0.08029,0.08077
"w_RF","Cox",50,1000,0.68097,0.0174,0.15037,0.05153,0.14122,0.05412,0.11871,0.05625
"w_RF","RSF",3,1000,0.6644,0.01428,0.04075,0.09521,0.01641,0.09871,-0.02408,0.10183
"w_RF","RSF",5,1000,0.6635,0.01764,0.0469,0.09167,0.02324,0.09568,-0.01682,0.10158
"w_RF","RSF",10,1000,0.67074,0.01747,0.09007,0.08736,0.06824,0.08941,0.03392,0.09412
"w_RF","RSF",20,1000,0.67713,0.01613,0.13657,0.06493,0.11591,0.06983,0.09049,0.07291
"w_RF","RSF",50,1000,0.68411,0.01682,0.15784,0.04867,0.14407,0.04944,0.12749,0.05279
"w_gam","KM",NA,1000,0.67281,0.02713,0.15683,0.06328,0.10054,0.08703,0.10543,0.07851
"w_gam","Cox",NA,1000,0.67217,0.02675,0.13479,0.05969,0.09213,0.0777,0.08972,0.07181
"w_gam","RSF",NA,1000,0.67099,0.02672,0.14311,0.05577,0.09301,0.07439,0.09705,0.06814
"RSF_regression",NA,3,NA,0.67691,0.01115,0.18073,0.05017,0.16308,0.05332,0.15929,0.05071
"RSF_regression",NA,5,NA,0.67767,0.01485,0.18383,0.05373,0.16847,0.05239,0.16374,0.05106
"RSF_regression",NA,10,NA,0.68477,0.01466,0.19788,0.04761,0.18471,0.04972,0.18021,0.04717
"RSF_regression",NA,20,NA,0.69138,0.01602,0.20695,0.04413,0.19486,0.04593,0.19105,0.04353
"RSF_regression",NA,50,NA,0.69641,0.01683,0.19802,0.0363,0.18877,0.03871,0.1842,0.0349
"Cox_regression",NA,NA,NA,0.67384,0.02245,0.16613,0.03328,0.14496,0.04286,0.14213,0.04372
