"algo","type_weights","nodesize","max_ratio_weights_model","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2"
"w_RF","KM",3,1000,0.66785,0.01584,0.06892,0.0913,0.03799,0.09662,0.00937,0.10268
"w_RF","KM",5,1000,0.66871,0.01657,0.08362,0.08505,0.05454,0.09383,0.02447,0.09775
"w_RF","KM",10,1000,0.67316,0.0178,0.1241,0.07558,0.09967,0.08058,0.07495,0.08318
"w_RF","KM",20,1000,0.6807,0.01787,0.16579,0.05839,0.14397,0.06485,0.12599,0.0646
"w_RF","KM",50,1000,0.68404,0.01822,0.17587,0.04417,0.16098,0.04944,0.14777,0.04835
"w_RF","Cox",3,1000,0.66384,0.01647,0.06104,0.08821,0.0311,0.09961,0.00119,0.10234
"w_RF","Cox",5,1000,0.66801,0.01577,0.08128,0.08114,0.05476,0.08872,0.02561,0.09419
"w_RF","Cox",10,1000,0.67246,0.01693,0.11695,0.06799,0.09411,0.07668,0.06744,0.07931
"w_RF","Cox",20,1000,0.67794,0.01617,0.15094,0.0604,0.13541,0.06497,0.11362,0.0683
"w_RF","Cox",50,1000,0.6828,0.01711,0.16275,0.04223,0.15472,0.04675,0.13826,0.04618
"w_RF","RSF",3,1000,0.66872,0.01675,0.07032,0.08896,0.04564,0.09111,0.01476,0.09657
"w_RF","RSF",5,1000,0.6709,0.01546,0.084,0.08224,0.06181,0.084,0.03205,0.0897
"w_RF","RSF",10,1000,0.67541,0.01609,0.12007,0.07391,0.09912,0.07877,0.07354,0.08361
"w_RF","RSF",20,1000,0.68133,0.01741,0.16002,0.05354,0.14224,0.06296,0.12343,0.06173
"w_RF","RSF",50,1000,0.68629,0.01816,0.17065,0.04138,0.1582,0.04652,0.14641,0.04656
"w_gam","KM",NA,1000,0.6737,0.02606,0.1601,0.05932,0.10917,0.08304,0.11491,0.07492
"w_gam","Cox",NA,1000,0.67358,0.026,0.14176,0.05372,0.10218,0.07299,0.10212,0.06727
"w_gam","RSF",NA,1000,0.67255,0.02561,0.14852,0.05172,0.10333,0.07151,0.10792,0.06523
"RSF_regression",NA,3,NA,0.67879,0.01144,0.18078,0.05162,0.16276,0.05835,0.16052,0.05443
"RSF_regression",NA,5,NA,0.67897,0.01449,0.18198,0.0558,0.16667,0.05714,0.16384,0.05419
"RSF_regression",NA,10,NA,0.68587,0.01486,0.19516,0.051,0.18219,0.05469,0.17957,0.05065
"RSF_regression",NA,20,NA,0.6918,0.01549,0.20567,0.04485,0.19387,0.0481,0.19192,0.04456
"RSF_regression",NA,50,NA,0.69626,0.01645,0.19613,0.03731,0.18732,0.04101,0.18437,0.03627
"Cox_regression",NA,NA,NA,0.67384,0.02245,0.15101,0.03007,0.13034,0.04075,0.12968,0.0414
