"algo","type_weights","nodesize","max_ratio_weights_model","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2"
"w_RF","KM",3,1000,0.59459,0.0501,-0.01851,0.35464,0.20357,0.33548,0.04526,0.26948
"w_RF","KM",5,1000,0.59657,0.05056,0.01336,0.35746,0.22466,0.35804,0.06912,0.27304
"w_RF","KM",10,1000,0.60719,0.05639,0.08036,0.33552,0.2868,0.32314,0.11958,0.26142
"w_RF","KM",20,1000,0.61016,0.05633,0.15069,0.28897,0.3185,0.25114,0.16491,0.21898
"w_RF","Cox",3,1000,0.60418,0.04783,-0.05658,0.37402,0.17584,0.38312,0.03144,0.28673
"w_RF","Cox",5,1000,0.60935,0.04927,-0.02768,0.36924,0.21758,0.36625,0.05882,0.27891
"w_RF","Cox",10,1000,0.61344,0.04788,0.01009,0.33691,0.27453,0.32682,0.08752,0.24462
"w_RF","Cox",20,1000,0.6226,0.05408,0.03288,0.34,0.31336,0.27027,0.10767,0.24496
"w_RF","RSF",3,1000,0.6023,0.04862,-0.04352,0.39522,0.17005,0.38035,0.03619,0.30727
"w_RF","RSF",5,1000,0.60274,0.04384,-0.0103,0.39702,0.20821,0.36724,0.06536,0.29047
"w_RF","RSF",10,1000,0.61111,0.04746,0.05432,0.35573,0.26702,0.32391,0.1102,0.27639
"w_RF","RSF",20,1000,0.61309,0.05016,0.12496,0.28451,0.31453,0.22861,0.15803,0.21757
"w_gam","KM",NA,1000,0.60062,0.05028,-0.52903,0.62092,-0.42604,0.77744,-0.4345,0.55243
"w_gam","Cox",NA,1000,0.61027,0.05464,-0.41928,0.54466,-0.49968,0.84249,-0.32176,0.48958
"w_gam","RSF",NA,1000,0.60354,0.05098,-0.50799,0.6163,-0.4333,0.7971,-0.40575,0.54759
"RSF_regression",NA,3,NA,0.59019,0.04838,-0.04,0.14331,-0.01485,0.14112,-0.03093,0.10947
"RSF_regression",NA,5,NA,0.59135,0.05177,-0.03832,0.14463,-0.01294,0.14725,-0.0295,0.10943
"RSF_regression",NA,10,NA,0.59615,0.05064,-0.0075,0.12025,0.00401,0.13105,-0.01077,0.09615
"RSF_regression",NA,20,NA,0.60215,0.05901,0.01505,0.08735,0.00302,0.11143,-0.00545,0.08251
"Cox_regression",NA,NA,NA,0.61623,0.07948,-0.06212,0.39633,-0.10653,0.45558,-0.04445,0.32463
