"algo","type_weights","nodesize","max_ratio_weights_model","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2"
"w_RF","KM",3,1000,0.81785,0.02333,0.31078,0.20717,0.3854,0.16269,0.35192,0.16257
"w_RF","KM",5,1000,0.81784,0.02221,0.3014,0.21984,0.37873,0.16178,0.34588,0.16549
"w_RF","KM",7,1000,0.81699,0.02097,0.29917,0.21415,0.38049,0.15168,0.34403,0.15652
"w_RF","KM",10,1000,0.81609,0.02365,0.29072,0.21519,0.36925,0.15469,0.33447,0.15813
"w_RF","KM",20,1000,0.8118,0.02172,0.271,0.22728,0.35311,0.16132,0.31575,0.16559
"w_RF","KM",50,1000,0.8115,0.02174,0.30695,0.15437,0.36785,0.10058,0.33954,0.10536
"w_RF","Cox",3,1000,0.82046,0.02218,0.27245,0.23346,0.3609,0.17839,0.32471,0.18277
"w_RF","Cox",5,1000,0.8181,0.02184,0.26196,0.25503,0.35911,0.19133,0.3149,0.19688
"w_RF","Cox",7,1000,0.8185,0.02206,0.25675,0.24729,0.35542,0.18999,0.31225,0.1895
"w_RF","Cox",10,1000,0.81691,0.02347,0.24162,0.2579,0.34748,0.17768,0.30073,0.19521
"w_RF","Cox",20,1000,0.81485,0.02181,0.21756,0.24648,0.3215,0.18543,0.27796,0.18808
"w_RF","Cox",50,1000,0.81272,0.02329,0.26464,0.18992,0.33834,0.13987,0.30758,0.13749
"w_RF","RSF",3,1000,0.81888,0.02509,0.30153,0.21926,0.38008,0.15671,0.34524,0.16531
"w_RF","RSF",5,1000,0.82096,0.02573,0.28103,0.24261,0.37029,0.17063,0.3311,0.18196
"w_RF","RSF",7,1000,0.82143,0.02538,0.27551,0.24518,0.36253,0.16959,0.32419,0.18141
"w_RF","RSF",10,1000,0.82068,0.02392,0.27302,0.23131,0.36605,0.1636,0.32366,0.16938
"w_RF","RSF",20,1000,0.81743,0.0247,0.25752,0.22591,0.34431,0.16071,0.30839,0.16732
"w_RF","RSF",50,1000,0.81344,0.02495,0.28139,0.1614,0.34385,0.11282,0.31808,0.11259
"w_gam","KM",NA,1000,0.78418,0.02988,0.24105,0.21214,0.27103,0.20837,0.25154,0.19628
"w_gam","Cox",NA,1000,0.78597,0.03096,0.19158,0.24777,0.25303,0.22793,0.22366,0.21948
"w_gam","RSF",NA,1000,0.78735,0.03008,0.21312,0.23028,0.26021,0.22245,0.23355,0.21022
"RSF_regression",NA,3,NA,0.81885,0.02291,0.35207,0.13312,0.44499,0.08852,0.38942,0.10495
"RSF_regression",NA,5,NA,0.82108,0.0236,0.35423,0.13795,0.44184,0.0989,0.39185,0.1085
"RSF_regression",NA,7,NA,0.81969,0.02316,0.3586,0.12359,0.44426,0.08989,0.39389,0.10243
"RSF_regression",NA,10,NA,0.81873,0.02488,0.36198,0.11741,0.4495,0.08084,0.39742,0.0956
"RSF_regression",NA,20,NA,0.81806,0.02563,0.35636,0.10483,0.43054,0.07475,0.38674,0.0851
"RSF_regression",NA,50,NA,0.81549,0.02595,0.35246,0.06909,0.40267,0.05371,0.37256,0.05861
"Cox_regression",NA,NA,NA,0.80221,0.02812,0.3135,0.23854,0.38844,0.15495,0.351,0.1855
