"algo","type_weights","nodesize","max_ratio_weights_model","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2"
"w_RF","KM",5,1000,0.72115,0.01731,0.23765,0.07396,0.20415,0.0793,0.20771,0.07071
"w_RF","KM",10,1000,0.72032,0.01722,0.26969,0.06823,0.23671,0.07388,0.23868,0.06534
"w_RF","KM",20,1000,0.72102,0.01634,0.28853,0.0583,0.25461,0.06039,0.25377,0.05913
"w_RF","KM",50,1000,0.71535,0.01625,0.26244,0.04037,0.23082,0.04316,0.23471,0.04147
"w_RF","KM",100,1000,0.71885,0.01551,0.1974,0.02781,0.1729,0.03185,0.18845,0.03261
"w_RF","Cox",5,1000,0.72093,0.0172,0.23547,0.06894,0.20155,0.0735,0.20818,0.06421
"w_RF","Cox",10,1000,0.71853,0.01664,0.26627,0.06684,0.2342,0.06964,0.23902,0.0615
"w_RF","Cox",20,1000,0.71628,0.01483,0.27793,0.05452,0.24769,0.05744,0.24613,0.05359
"w_RF","Cox",50,1000,0.71107,0.0148,0.24504,0.03915,0.21738,0.03993,0.22187,0.03841
"w_RF","Cox",100,1000,0.71656,0.01237,0.18394,0.02563,0.16309,0.0284,0.1781,0.02849
"w_RF","RSF",5,1000,0.72463,0.0154,0.24265,0.07122,0.21178,0.07618,0.2274,0.06721
"w_RF","RSF",10,1000,0.72836,0.01511,0.26603,0.05628,0.23548,0.05945,0.255,0.05142
"w_RF","RSF",20,1000,0.73066,0.01532,0.2685,0.04716,0.23873,0.04706,0.25983,0.04149
"w_RF","RSF",50,1000,0.72752,0.01523,0.23175,0.03983,0.2055,0.04026,0.23363,0.03014
"w_RF","RSF",100,1000,0.72519,0.014,0.16664,0.02978,0.14676,0.031,0.18145,0.02082
"w_gam","KM",NA,1000,0.73938,0.01048,0.19355,0.04806,0.1602,0.05234,0.17515,0.06742
"w_gam","Cox",NA,1000,0.73583,0.01069,0.18302,0.04833,0.15774,0.05056,0.16899,0.06684
"w_gam","RSF",NA,1000,0.74871,0.01053,0.1874,0.04228,0.1591,0.04471,0.19761,0.04386
"RSF_regression",NA,5,NA,0.73064,0.01137,0.19513,0.06769,0.16343,0.0692,0.16758,0.08629
"RSF_regression",NA,10,NA,0.74013,0.01019,0.22822,0.05624,0.19661,0.05653,0.21412,0.06904
"RSF_regression",NA,20,NA,0.74526,0.0095,0.23495,0.04658,0.20509,0.046,0.22924,0.05575
"RSF_regression",NA,50,NA,0.74916,0.01018,0.23128,0.03345,0.20896,0.03301,0.23058,0.03931
"RSF_regression",NA,100,NA,0.74375,0.01046,0.19627,0.02718,0.18206,0.02501,0.19232,0.02824
"Cox_regression",NA,NA,NA,0.74862,0.00963,0.20626,0.04704,0.17707,0.05043,0.20252,0.05725
