"algo","type_weights","nodesize","max_ratio_weights_model","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2"
"w_RF","KM",5,1000,0.73279,0.01033,0.33293,0.03771,0.31191,0.03941,0.31724,0.03283
"w_RF","KM",10,1000,0.73967,0.00994,0.35902,0.03898,0.33882,0.04045,0.34454,0.03426
"w_RF","KM",20,1000,0.74455,0.01017,0.37048,0.03476,0.35084,0.03501,0.35588,0.03083
"w_RF","KM",50,1000,0.74117,0.01059,0.35989,0.02997,0.3419,0.02985,0.34596,0.02761
"w_RF","KM",100,1000,0.73313,0.01001,0.31096,0.02472,0.29641,0.02652,0.29893,0.02577
"w_RF","Cox",5,1000,0.73282,0.01111,0.33179,0.0385,0.31094,0.03917,0.31773,0.03558
"w_RF","Cox",10,1000,0.73711,0.01014,0.35645,0.03631,0.33775,0.03718,0.34256,0.03179
"w_RF","Cox",20,1000,0.73982,0.01038,0.36562,0.03449,0.34813,0.03493,0.35234,0.03085
"w_RF","Cox",50,1000,0.73631,0.01132,0.35053,0.02851,0.33551,0.02941,0.33957,0.02777
"w_RF","Cox",100,1000,0.73005,0.00952,0.30426,0.02127,0.29195,0.0237,0.2948,0.02272
"w_RF","RSF",5,1000,0.73501,0.01047,0.33471,0.0367,0.31399,0.03728,0.32341,0.0332
"w_RF","RSF",10,1000,0.74385,0.01037,0.35797,0.03346,0.33822,0.03385,0.34945,0.0303
"w_RF","RSF",20,1000,0.74897,0.00983,0.36488,0.0331,0.34685,0.03284,0.35894,0.02966
"w_RF","RSF",50,1000,0.747,0.01015,0.3514,0.02713,0.33576,0.02768,0.3481,0.02353
"w_RF","RSF",100,1000,0.73806,0.01,0.30189,0.02121,0.28982,0.02233,0.29925,0.01938
"w_gam","KM",NA,1000,0.75096,0.00856,0.33702,0.03699,0.31393,0.03829,0.32978,0.03594
"w_gam","Cox",NA,1000,0.74822,0.00826,0.33212,0.03737,0.31263,0.03772,0.32664,0.03669
"w_gam","RSF",NA,1000,0.75246,0.00907,0.33719,0.03514,0.31592,0.0362,0.33666,0.03243
"RSF_regression",NA,5,NA,0.74627,0.00935,0.33782,0.03811,0.31885,0.0388,0.32804,0.03991
"RSF_regression",NA,10,NA,0.75106,0.00945,0.35223,0.03553,0.33428,0.03639,0.34502,0.03577
"RSF_regression",NA,20,NA,0.75285,0.00949,0.35702,0.03177,0.34087,0.0326,0.35158,0.03201
"RSF_regression",NA,50,NA,0.7516,0.01016,0.34641,0.02643,0.3338,0.02686,0.34048,0.02778
"RSF_regression",NA,100,NA,0.74158,0.00924,0.30162,0.02373,0.29203,0.02408,0.29256,0.02603
"Cox_regression",NA,NA,NA,0.74862,0.00963,0.32724,0.02751,0.3097,0.02987,0.32723,0.02805
